id,formation_energy_per_atom
mp-1103373,-0.24488779850000006
mp-1106279,-0.46290994750000003
mp-1224519,-1.7150859073522726
mp-1204424,-1.3164454594531252
mp-1226074,-0.5358219496874993
mp-1217446,-0.9494356131133088
mp-1227748,-2.89183652225
mp-1227542,-2.313949218182472
mp-1179841,0.1340888245535714
mp-1205334,-1.0402412895312496
mp-1213496,-2.3674466379416668
mp-1208479,-0.6451307131250008
mp-1228572,-0.2714164387968744
mp-1180691,-1.711094437583333
mp-864671,-1.0210431037499994
mp-1204317,-1.1323718029590901
mp-1224079,-2.153914226536458
mp-1203595,-1.3582959988811756
mp-1211679,-2.219744380666667
mp-1228208,-3.3673783584102175
mp-1214626,-2.8598107688653336
mp-1077735,-0.6670916633333329
mp-1205600,-3.510458463500001
mp-1180118,-1.8646125553896093
mp-1201527,-1.802665235183555
mp-1192994,-2.0230949102864586
mp-1192395,-1.0390164477386667
mp-1198291,-1.9409518452875503
mp-1218645,-2.6312751119531246
mp-1207921,-0.13164237277777838
mp-1101035,-2.455499004916667
mp-568203,-0.7517774404848221
mp-1224815,-0.09053863249999994
mp-1214277,-1.9068771708572334
mp-1226833,-0.17794182458333316
mp-1215056,-2.287848026458565
mp-1183601,-0.5836671475000017
mp-1223143,-3.1821501573750006
mp-1191245,-0.7063877881316666
mp-1228785,-2.8285531572499996
mp-1187172,-0.8521090911666663
mp-1180674,-0.6425939891527782
mp-1181539,1.7666639450800008
mp-1202537,-2.3792494018998824
mp-1207432,-0.27874403900000005
mp-1178448,-0.9386749182849201
mp-1045465,-1.9539443935119059
mp-1219406,-0.43826989875000066
mp-1220069,0.038869306249999624
mp-1048376,-2.736268142775974
mp-1194358,-0.38102104892857164
mp-1179213,-0.9520049771144831
mp-1220375,-0.0343294730357151
mp-1185255,-0.061017742499999805
mp-1228923,0.013648180000000565
mp-1191037,-1.6572115893564772
mp-1207899,-2.1605581111057695
mp-1227951,-2.1928780467500006
mp-1196590,-0.8089418530952377
mp-1205173,-1.3145734472535435
mp-1207473,1.1351324799999993
mp-1114025,-1.1944560530689654
mp-1228956,-0.1374997180000001
mp-1179130,-1.1932563929193203
mp-1045855,-2.558788632837301
mp-1178161,-2.7712716368749994
mp-1192919,-0.392774472301137
mp-1187450,-0.000300654999999761
mp-1220851,-2.9711751089285707
mp-1178063,-2.201673656365132
mp-1179540,-0.5740594321590904
mp-1100889,-2.879920709903847
mp-1222003,-1.2695902582812502
mp-1176486,-2.594608338049364
mp-1204927,-1.3323903076123529
mp-1208341,-3.2655514932500003
mp-1183179,-0.0667948210416669
mp-1221552,-0.25747603687499865
mp-1041817,-1.5671917779166662
mp-1195646,-2.4415490149499997
mp-861137,-2.03618353432143
mp-1228938,-0.1847013500000001
mp-1220403,-0.47085187349999985
mp-1201899,-2.000703839166666
mp-1223460,-0.9365661277395839
mp-1214366,-1.114819636771305
mp-1217247,-0.29029868152777877
mp-1226896,-0.8911193683333328
mp-1213698,-0.13844195401049483
mp-1197550,-1.4637746573161767
mp-1211669,-0.33624121552153735
mp-1178878,-1.125266968406251
mp-1220167,-0.22702131352941154
mp-980662,-0.39685147750000027
mp-1210033,-2.322863612410715
mp-1112525,-2.1724732442318624
mp-1025346,-0.4905299264285716
mp-1215381,-0.8142154008928577
mp-1205911,-0.6446996161111108
mp-1195414,-1.496643948291335
mp-1222176,-0.008831510296874257
mp-1194866,-0.8795969453968253
mp-1225629,-0.3822982869230764
