id,band_gap,formation_energy_per_atom,density,e_above_hull,energy,energy_per_atom,pretty_formula
mp-633688,,,,,,,
mp-3799,1.0983999999999998,-1.5760298464383335,6.747565152199282,1.6370467527777812,-47.39550356,-7.899250593333334,GdSF
mp-12487,1.5476,-1.0826420113218391,5.586796597684042,0.0,-44.66829370000001,-3.722357808333333,CsDyCdTe3
mp-775132,2.5611,-2.5345900471250005,3.3276334081396963,0.2788963914374891,-553.3017562000001,-6.9162719525,NaLi3Fe4(SiO3)8
mp-9712,1.4668,-2.501431920706845,4.515953440574078,0.0,-101.19608153,-6.324755095625,Ba3BPO3
mp-754249,1.9033,-2.3682279613157893,4.941755867138632,0.02126090277255876,-126.60669298,-6.663510156842105,Li3ZrNb(TeO6)2
mp-758115,4.0244,-2.5677322163938503,3.27161493488955,0.015688293527778896,-316.67662915,-6.597429773958333,Li2SnP2O7
mp-755009,3.6858,-3.8786822089445447,4.801334478712271,0.05876446272727254,-126.22070778,-5.737304899090908,Ba4OF6
mp-32736,1.6228000000000002,-1.7989985684062495,7.85895360571392,0.07570854500000124,-228.94061499999998,-5.723515375,Er2Se3
mp-755364,0.29490000000000016,-2.72212609453125,6.5486926683613405,0.035705335638021474,-82.70439376,-6.8920328133333335,NdSeO
mp-19113,2.1353,-1.4599003217499995,6.286361078098829,0.026083353166664658,-113.65646696,-5.682823347999999,CoTeO3
mp-31808,,,,,,,
mp-772777,4.1479,-2.6234659702298537,2.7208039609773302,0.010845145192307726,-166.97089934,-6.421957666923077,K3SrPCO7
mp-558875,2.9145,-2.2547262916122213,5.749174605865767,0.0,-214.57490269999997,-5.960413963888889,HoTe2ClO5
mp-561117,2.4655,-1.4320149761435716,2.932645352827117,0.08949146107143058,-232.89092435,-4.15876650625,SXeO3F2
mp-849412,2.0484,-2.7548596081286667,2.8251235086639417,0.02569519708333168,-175.26670515,-5.8422235050000015,V6O5F19
mp-772260,3.9595,-2.828356278996913,2.413211963212411,0.06955782925926712,-364.45742104,-6.74921150074074,Li10Ti4O13
mp-540352,,,,,,,
mp-541044,2.8477,-2.9560351684410917,5.5603115094845235,0.0,-55.35389728,-6.91923716,CsYO2
mp-557769,3.5377,-1.997055776349,2.1463583810739792,0.03599778499999662,-545.05088644,-6.8131360805,CaH2C2O5
mp-30055,0.4098,-1.3966687087500005,3.3698789492467482,0.002791167750000323,-15.80753777,-3.161507554,Rb3BrO
mp-28435,1.2965000000000002,-1.3146991343399996,2.0706294056311108,0.20174440277777966,-89.9331788,-3.747215783333333,KFeCl4
mp-772343,,,,,,,
mp-15257,0.3403999999999998,-1.8717776324062487,7.360800198443693,0.0,-116.46141918,-5.823070959,Tb2Se3
mp-29796,4.31,-2.1558421832783328,2.071643529178506,0.0,-196.07646904,-4.0849264383333335,Ho(AlCl4)3
mp-23339,4.4703,-1.0141171467499994,3.15952431763812,0.0,-83.02692674,-4.151346337,NaBrO3
mp-766236,3.234,-3.9877585695,8.048745883915824,0.0,-410.55469035,-10.26386725875,GdErO3
mp-5477,2.6404,-2.2493006032954552,2.9814646125173465,0.0,-125.26610809,-5.693914004090908,Na5NbO5
mp-41732,1.0085999999999995,-2.9807850351944443,6.3165887625132005,0.3254497312221982,-353.66669269999994,-7.859259837777778,BaLa2TiCr2O9
mp-560768,3.98,-3.1136116414950976,4.068445640864285,0.013423538529424128,-954.00565654,-7.014747474558824,NaSr4(BO3)3
mp-734019,3.0835,-1.5987859667709092,2.5570948500109605,0.0,-205.64864308,-4.673832797272726,Na2Zn(HO)4
mp-781076,,,,,,,
mp-3075,1.7633,-0.7251304265625005,4.9928397102577975,0.0,-134.60532792,-4.2064164975,TlGeS2
mp-32041,,,,,,,
mp-34144,4.5901,-3.3593464923809515,3.4675356518244858,0.024187420952380908,-297.51680939,-7.083733556904763,MgAl2O4
mp-2908,3.847,-3.0298499085714283,4.453848862600961,0.0,-93.884447,-6.706031928571428,Al2ZnO4
