id,formation_energy_per_atom,band_gap
mvc-14837,-2.143479584047619,0
mp-1030453,-0.30053727976562544,0.00790000000000024
mp-20078,-1.4149749887500007,1.0687000000000006
mp-30477,-0.565045574444444,0.0
mvc-5444,-1.7165118507797696,0.02080000000000015
mp-767307,-2.6314173856928167,2.3950000000000005
mp-19784,-2.5815803635227286,1.8171
mp-30872,-0.5401907016666669,0.0
mp-698565,-2.2551334219047616,0.9435000000000002
mvc-7658,-2.516950527992424,2.6799999999999997
mp-777448,-3.0694128078228577,2.6695
mp-16857,-0.019945358050766988,0.0
mp-562018,-1.2903060667053121,4.302
mp-12449,-2.8222635357499994,0.4064999999999994
mp-763123,-2.2093499705355555,0.24189999999999978
mp-7899,-2.159571489375,0.9776000000000002
mp-861903,-0.2916476999999995,0
mp-983565,-0.11193964596354178,1.4842000000000004
mp-555332,-2.8661738047499994,0.0
mp-703393,-0.4589993467505532,3.4468
mp-626788,-1.708117810234445,3.9184
mp-641775,-0.601825217548824,0.06130000000000013
mp-9371,-4.4921089596425,7.6163
mvc-13028,-2.3819408626836363,1.1354
mp-1019548,-2.081819774590517,3.9450000000000003
mp-649186,-0.7291072399676721,0.28979999999999995
mp-690518,-1.2497978217499999,0.0
mp-13305,-0.855671896666666,0.09699999999999953
mp-31171,-0.14957833749999994,0.0
mp-560785,-1.8516864670888165,1.5806
mp-744017,-1.0660317015755554,1.3156
mp-531712,-1.8848580050892854,0.0
mp-774318,-1.7586621019117648,0.7782999999999998
mp-771476,-2.08098281075687,2.3827999999999996
mp-5106,-0.33807776729166594,0.0
mp-683928,-1.1703842830354552,0.0
mp-771288,-2.311916355333334,0.7363
mp-555740,-3.2524876483333336,5.5865
mp-21084,-1.8014904811764705,0.5671999999999997
mp-769694,-2.345644116299603,2.325
mp-584134,-2.5305978322673166,3.6507
mp-540033,-2.557057717934526,0.9387000000000001
mp-545730,0.15959791440499949,1.3014
mp-600507,-1.0615322639971834,3.8341
mp-604702,-0.4093955612040903,2.0724
mp-463,-2.956092243095,5.9956
mp-782651,-2.811986398866966,0.0
mp-973493,0.18154041749999994,0.0
mvc-8877,-2.8214667967195775,0.2056
mp-765182,-3.114690921211818,1.9246000000000003
mp-16690,-1.4272221478856644,2.3543
mp-735603,-0.6712862780994288,1.0128000000000001
mp-685148,-1.9223439847500003,0.0
mp-675284,-3.816728725052082,2.4391
mp-757666,-2.621910208247017,5.1418
mp-757751,-3.4836159815891485,0
mp-764044,-2.7360468565797698,0.24
mp-565698,-1.9965895679464285,2.761
mp-777893,-3.0532325059639995,2.6218000000000004
mp-761645,-2.8706292888815805,2.5679000000000003
mp-559711,-2.352019759583333,3.083
mp-743970,-0.9702093588787989,2.9398
mp-2731,-0.37028916541666757,0.0
mp-767273,-2.876101100594529,0.0
